,Artist,Track,Popularity,Track_Number,Album_Name,Total_Tracks,Release_Date
16,Melanie Martinez,Teacher's Pet,80,11,K-12,13,2019-09-06
17,Mustard,Pure Water (with Migos),79,2,Perfect Ten,10,2019-06-28
18,Ellie Goulding,Hate Me (with Juice WRLD),78,1,Hate Me (with Juice WRLD),1,2019-06-26
19,Dan + Shay,"10,000 Hours (with Justin Bieber)",81,1,"10,000 Hours (with Justin Bieber)",1,2019-10-04
20,Marshmello,One Thing Right,76,1,One Thing Right,1,2019-06-21
21,Dua Lipa,Don't Start Now,83,1,Don't Start Now,1,2019-10-31
22,Ali Gatie,It's You,83,1,YOU,9,2019-11-08
23,Sub Urban,Cradles,75,1,Cradles,1,2019-01-04
24,Taylor Swift,You Need To Calm Down,79,14,Lover,18,2019-08-23
25,Ariana Grande,"break up with your girlfriend, i'm bored",79,12,"thank u, next",12,2019-02-08
26,Billie Eilish,you should see me in a crown,79,4,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
27,Billie Eilish,listen before i go,78,12,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
28,Lewis Capaldi,Hold Me While You Wait,80,3,Divinely Uninspired To A Hellish Extent,12,2019-05-17
29,Duncan Laurence,Arcade,84,1,Arcade,1,2019-03-07
30,Harry Styles,She,79,8,Fine Line,12,2019-12-13
31,mxmtoon,prom dress,75,2,the masquerade,20,2019-09-17
32,iann dior,emotions,77,5,nothings ever good enough,8,2019-05-22
33,Doja Cat,Cyber Sex,76,1,Hot Pink,12,2019-11-07
34,Ariana Grande,boyfriend (with Social House),79,1,boyfriend,1,2019-08-02
35,5 Seconds of Summer,Teeth,80,1,13 Reasons Why (Season 3),18,2019-08-23
36,Andy Grammer,"Don't Give Up On Me - (From ""Five Feet Apart"")",78,5,Naive,13,2019-07-26
37,Saweetie,My Type,74,3,ICY,7,2019-03-29
38,Ashe,Moral of the Story,80,1,Moral of the Story,1,2019-02-14
39,Bazzi,I.F.L.Y.,78,9,Soul Searching,11,2019-08-09
40,Doja Cat,Juicy,77,12,Hot Pink,12,2019-11-07
