,Artist,Track,Popularity,Track_Number,Album_Name,Total_Tracks,Release_Date
9,The Weeknd,Save Your Tears,90,11,After Hours,14,2020-03-20
10,Dua Lipa,Levitating (feat. DaBaby),89,12,Future Nostalgia,13,2020-03-27
11,Machine Gun Kelly,my ex's best friend (with blackbear),84,11,Tickets To My Downfall,15,2020-09-25
12,Giveon,Heartbreak Anniversary,86,6,TAKE TIME,8,2020-03-27
13,blackbear,hot girl bummer,85,1,everything means nothing,12,2020-08-21
14,Don Toliver,No Idea,86,12,Heaven Or Hell,12,2020-03-13
15,Ariana Grande,positions,88,12,Positions,14,2020-10-30
16,Dua Lipa,Levitating (feat. DaBaby),84,1,Levitating (feat. DaBaby),1,2020-10-01
17,Conan Gray,Maniac,84,3,Kid Krow,12,2020-03-20
18,Ariana Grande,34+35,85,2,Positions,14,2020-10-30
19,Don Toliver,After Party,82,4,Heaven Or Hell,12,2020-03-13
20,Drake,Laugh Now Cry Later (feat. Lil Durk),84,1,Laugh Now Cry Later (feat. Lil Durk),1,2020-08-14
21,Blxst,Chosen (feat. Ty Dolla $ign),84,12,No Love Lost (Deluxe),14,2020-12-04
22,BTS,Dynamite,89,8,BE,8,2020-11-20
23,Ritt Momney,Put Your Records On,81,1,Put Your Records On,1,2020-04-24
24,Vedo,You Got It,82,7,For You,13,2020-03-27
25,Brent Faiyaz,Dead Man Walking,80,1,Dead Man Walking,1,2020-09-18
26,Beach Bunny,Cloud 9,81,9,Honeymoon,9,2020-02-14
27,Chris Brown,Go Crazy,81,2,Slime & B,13,2020-05-08
28,Diplo,Heartless (feat. Morgan Wallen),76,3,Diplo Presents Thomas Wesley Chapter 1: Snake Oil,12,2020-05-29
29,Big Sean,Wolves (feat. Post Malone),80,4,Detroit 2,21,2020-09-04
30,Wiz Khalifa,The Thrill,82,1,The Thrill,1,2020-11-11
31,Dua Lipa,Levitating,86,5,Future Nostalgia,11,2020-03-27
32,Tate McRae,that way,82,3,all the things i never said,5,2020-01-24
33,Ariana Grande,Stuck with U (with Justin Bieber),85,1,Stuck with U,1,2020-05-08
34,Gabby Barrett,I Hope,78,1,Goldmine,13,2020-06-19
35,Future,Drankin N Smokin,80,5,Pluto x Baby Pluto,16,2020-11-13
36,Selena Gomez,Lose You To Love Me,83,4,Rare,13,2020-01-10
37,Ariana Grande,pov,81,14,Positions,14,2020-10-30
38,Doja Cat,Boss Bitch,83,1,Boss Bitch,1,2020-01-23
39,Trevor Daniel,Falling,84,10,Nicotine,10,2020-03-26
40,Alexander 23,IDK You Yet,82,2,IDK You Yet (Live on Piano),2,2020-06-23
41,Taylor Swift,champagne problems,80,2,evermore,15,2020-12-11
42,Ariana Grande,motive (with Doja Cat),82,3,Positions,14,2020-10-30
43,Giveon,Like I Want You,79,7,TAKE TIME,8,2020-03-27
44,Elley Duhé,MIDDLE OF THE NIGHT,90,1,MIDDLE OF THE NIGHT,1,2020-01-10
45,Drake,Chicago Freestyle (feat. Giveon),81,3,Dark Lane Demo Tapes,14,2020-05-01
46,Gabby Barrett,The Good Ones,76,7,Goldmine,13,2020-06-19
47,Ty Dolla $ign,Spicy (feat. Post Malone),80,5,Featuring Ty Dolla $ign,25,2020-10-23
48,Taylor Swift,cardigan,81,2,folklore,16,2020-07-24
0,Brent Faiyaz,Clouded,77,2,Fuck The World,10,2020-02-07
1,Tiësto,The Business,88,1,The Business,1,2020-09-16
2,Ava Max,Kings & Queens,84,3,Heaven & Hell,16,2020-09-18
3,The Weeknd,Heartless,79,7,After Hours,14,2020-03-20
4,Taylor Swift,august,80,8,folklore,16,2020-07-24
5,Sara Kays,Remember That Night?,80,1,Remember That Night?,1,2020-11-06
6,Machine Gun Kelly,forget me too (feat. Halsey),78,5,Tickets To My Downfall,15,2020-09-25
7,Joel Corry,Head & Heart (feat. MNEK),86,1,Head & Heart (feat. MNEK),1,2020-07-03
8,Michael Ray,Whiskey And Rain,75,1,Whiskey And Rain,1,2020-09-25
9,Dua Lipa,Don't Start Now,84,2,Future Nostalgia,11,2020-03-27
10,AJR,Bang!,73,1,Bang!,1,2020-02-12
11,Taylor Swift,willow,82,1,evermore,15,2020-12-11
12,SZA,Hit Different,77,1,Hit Different,1,2020-09-04
13,The Neighbourhood,Stargazing,79,1,Chip Chrome & The Mono-Tones (Deluxe),15,2020-12-11
14,Nelly,Lil Bit,76,1,Lil Bit,1,2020-10-23
15,Ava Max,Sweet but Psycho,83,16,Heaven & Hell,16,2020-09-18
16,Billie Eilish,Therefore I Am,80,1,Therefore I Am,1,2020-11-12
17,Doja Cat,Freak,77,1,Freak,1,2020-08-07
18,Future,Life Is Good (feat. Drake),81,1,Life Is Good (feat. Drake),1,2020-01-10
19,Eyedress,Romantic Lover,77,5,Let's Skip to the Wedding,19,2020-08-07
20,Megan Thee Stallion,Body,77,8,Good News,17,2020-11-20
21,Tory Lanez,Broke In A Minute,77,7,The New Toronto 3,16,2020-04-10
22,Machine Gun Kelly,bloody valentine,78,4,Tickets To My Downfall,15,2020-09-25
23,The Weeknd,In Your Eyes,83,10,After Hours,14,2020-03-20
24,Yung Bleu,You’re Mines Still (feat. Drake),76,1,You’re Mines Still (feat. Drake),1,2020-10-15
25,Briston Maroney,Freakin' Out On the Interstate,75,2,Freakin' Out On The Interstate (Acoustic Version [Live]),2,2020-07-10
26,Jhené Aiko,B.S. (feat. H.E.R.),74,5,Chilombo,20,2020-03-06
27,Taylor Swift,the 1,77,1,folklore,16,2020-07-24
28,Marshmello,Be Kind (with Halsey),80,1,Be Kind (with Halsey),1,2020-05-01
29,Halsey,You should be sad,77,4,Manic,16,2020-01-17
30,DJ Khaled,POPSTAR (feat. Drake),79,1,POPSTAR (feat. Drake),1,2020-07-17
31,Tenille Arts,Somebody Like That,75,1,"Love, Heartbreak, & Everything in Between",12,2020-01-10
32,Trey Lewis,Dicked Down in Dallas,73,1,Dicked Down in Dallas,1,2020-12-01
33,Lil Nas X,HOLIDAY,81,1,HOLIDAY,1,2020-11-13
34,Justin Bieber,Holy (feat. Chance The Rapper),80,1,Holy,1,2020-09-18
35,All Time Low,Monsters (feat. blackbear),76,7,"Wake Up, Sunshine",15,2020-04-03
36,SAINt JHN,Roses - Imanbek Remix,72,14,While The World Was Burning,14,2020-11-20
37,Ava Max,My Head & My Heart,83,1,Heaven & Hell,16,2020-09-18
38,The Weeknd,After Hours,79,13,After Hours,14,2020-03-20
39,iann dior,Sick and Tired (ft. Machine Gun Kelly and Travis Barker),76,6,I'm Gone,9,2020-06-12
40,Wilbur Soot,Your New Boyfriend,77,1,Your New Boyfriend,1,2020-12-11
41,Olivia O'Brien,Josslyn,74,1,Josslyn,4,2020-05-15
42,Dominic Fike,Why,74,6,What Could Possibly Go Wrong,14,2020-07-31
43,Brent Faiyaz,Fuck The World (Summer in London),75,4,Fuck The World,10,2020-02-07
44,Jason Derulo,Take You Dancing,83,1,Take You Dancing,1,2020-07-22
45,WizKid,Essence (feat. Tems),78,11,Made In Lagos,14,2020-10-29
46,MEDUZA,Paradise (feat. Dermot Kennedy),84,1,Paradise,1,2020-10-30
47,Lady Gaga,Rain On Me (with Ariana Grande),79,1,Rain On Me (with Ariana Grande),1,2020-05-22
48,Sir Chloe,Michelle,76,9,Party Favors,9,2020-10-23
0,Dreamer Isioma,Sensitive,75,1,Sensitive,1,2020-01-29
1,Halsey,Without Me,79,9,Manic,16,2020-01-17
2,Carly Pearce,I Hope You’re Happy Now,72,3,Carly Pearce,13,2020-02-14
3,Brent Faiyaz,Rehab (Winter In Paris),73,7,Fuck The World,10,2020-02-07
4,H.E.R.,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)",75,1,"Slide (Remix) (feat. Pop Smoke, A Boogie Wit da Hoodie & Chris Brown) (feat. Pop Smoke)",1,2020-01-17
5,Summer Walker,White Tee (with NO1-NOAH),77,4,Life On Earth - EP,5,2020-07-10
6,The Neighbourhood,Pretty Boy,76,2,Chip Chrome & The Mono-Tones,11,2020-09-25
7,MisterWives,SUPERBLOOM,73,19,SUPERBLOOM,19,2020-07-24
8,Niall Horan,Black And White,77,2,Heartbreak Weather,14,2020-03-13
9,Dua Lipa,Break My Heart,81,9,Future Nostalgia,11,2020-03-27
10,Zoe Wees,Control,80,1,Control,1,2020-03-13
11,John Legend,Wild (feat. Gary Clark Jr.),75,5,Bigger Love,16,2020-06-19
12,ROLE MODEL,blind,74,3,our little angel - EP,6,2020-10-21
13,Lauv,i'm so tired...,79,14,~how i'm feeling~,21,2020-03-06
14,BTS,Life Goes On,83,1,BE,8,2020-11-20
15,Jhené Aiko,P*$$Y Fairy (OTW),73,1,P*$$Y Fairy (OTW),1,2020-01-17
16,COIN,Crash My Car,72,4,Dreamland,14,2020-02-21
17,Khalid,Know Your Worth,77,1,Know Your Worth,1,2020-02-04
18,Claire Rosinkranz,Backyard Boy,75,2,Backyard Boy (Stripped),2,2020-10-02
19,Justin Bieber,Intentions (feat. Quavo),78,4,Changes,17,2020-02-14
20,Taylor Swift,my tears ricochet,75,5,folklore,16,2020-07-24
21,FLETCHER,Bitter,74,1,Bitter,1,2020-05-13
22,Jawsh 685,Savage Love (Laxed - Siren Beat),81,1,Savage Love (Laxed - Siren Beat),1,2020-06-11
23,Lund,Broken,76,1,Broken,1,2020-04-17
24,JAWNY,Honeypie,78,10,For Abby,10,2020-10-27
25,DJ Khaled,GREECE (feat. Drake),77,1,GREECE (feat. Drake),1,2020-07-16
26,Forest Blakk,If You Love Her,77,1,If You Love Her,1,2020-09-30
27,Stellar,Ashes,77,1,Ashes,1,2020-05-03
28,Sam Hunt,Breaking Up Was Easy In The 90's,71,11,SOUTHSIDE,12,2020-04-03
29,Sean Kingston,Eenie Meenie,69,2,Eenie Meenie EP,3,2020-02-28
30,Lady Gaga,Rain On Me (with Ariana Grande),78,4,Chromatica,16,2020-05-29
31,Maddie & Tae,Die From A Broken Heart,71,10,The Way It Feels,15,2020-04-10
32,Justin Bieber,Lonely (with benny blanco),80,1,Lonely (with benny blanco),1,2020-10-16
33,Yung Gravy,oops!,73,5,Gasanova,14,2020-10-02
34,Saweetie,Back to the Streets (feat. Jhené Aiko),72,1,Back to the Streets (feat. Jhené Aiko),1,2020-10-23
35,Phoebe Bridgers,Kyoto,73,3,Punisher,11,2020-06-18
36,Bankrol Hayden,Costa Rica (feat. The Kid LAROI) - Remix,75,11,Pain is Temporary,11,2020-06-26
37,Joyner Lucas,Isis (feat. Logic),74,3,ADHD,18,2020-03-27
38,Bryson Tiller,Sorrows,73,6,A N N I V E R S A R Y,10,2020-10-02
39,Penelope Scott,Lotta True Crime,73,2,Public Void,7,2020-09-25
40,Miley Cyrus,Plastic Hearts,75,2,Plastic Hearts,15,2020-11-27
41,Marshmello,OK Not To Be OK,78,1,OK Not To Be OK,1,2020-09-10
42,Penelope Scott,Feel Better,73,4,Public Void,7,2020-09-25
43,Miley Cyrus,Angels Like You,79,3,Plastic Hearts,15,2020-11-27
44,BTS,Filter,81,8,MAP OF THE SOUL : 7,20,2020-02-21
45,Kehlani,Can I,71,2,It Was Good Until It Wasn't,15,2020-05-08
46,Shawn Mendes,Wonder,77,1,Wonder,1,2020-10-02
47,Billie Eilish,my future,75,1,my future,1,2020-07-30
48,Troye Sivan,Easy (with Kacey Musgraves feat. Mark Ronson),73,1,Easy (with Kacey Musgraves feat. Mark Ronson),1,2020-12-10
0,Gryffin,Safe With Me (with Audrey Mika),74,1,Safe With Me (with Audrey Mika),1,2020-11-19
1,Ed Sheeran,Afterglow,82,1,Afterglow,1,2020-12-21
2,Justin Bieber,Intentions,77,1,Intentions,1,2020-02-07
3,Ashnikko,Daisy,75,1,Daisy,2,2020-07-09
4,UPSAHL,People I Don't Like,73,1,People I Don't Like,1,2020-07-17
5,Billie Eilish,No Time To Die,80,1,No Time To Die,1,2020-02-13
6,Megan Thee Stallion,Girls in the Hood,72,1,Girls in the Hood,1,2020-06-26
7,MAX,Blueberry Eyes (feat. SUGA of BTS),74,1,Blueberry Eyes (feat. SUGA of BTS),1,2020-09-15
8,Future,Life Is Good (feat. Drake),76,17,High Off Life,21,2020-05-15
9,Frances Forever,space girl,73,1,space girl,1,2020-03-27
10,Will Wood,I / Me / Myself,73,4,The Normal Album,10,2020-07-10
11,Royal & the Serpent,overwhelmed,74,1,Overwhelmed,1,2020-06-26
12,Ingrid Andress,More Hearts Than Mine,71,6,Lady Like,8,2020-03-27
13,Migos,Need It,73,1,Need It,1,2020-05-22
14,Don Toliver,Cardigan,72,3,Heaven Or Hell,12,2020-03-13
15,2KBABY,Old Streets,71,11,Pregame Rituals,12,2020-04-10
16,Taylor Swift,invisible string,73,11,folklore,16,2020-07-24
17,Quinn XCII,Stacy,70,2,A Letter To My Younger Self,12,2020-07-10
18,Taylor Swift,betty,73,14,folklore,16,2020-07-24
19,Megan Thee Stallion,Captain Hook,72,3,Suga,9,2020-03-06
20,Taylor Swift,this is me trying,74,9,folklore,16,2020-07-24
21,Jerry Di,Mi Cuarto,78,1,DI LETRA,9,2020-04-03
22,Priscilla Block,Just About Over You,69,1,Just About Over You,1,2020-09-30
23,Megan Thee Stallion,Savage,75,2,Suga,9,2020-03-06
24,Lauren Alaina,Getting Over Him,70,1,Getting Over Him,1,2020-08-21
25,Shawn Mendes,Monster (Shawn Mendes & Justin Bieber),79,1,Monster,1,2020-11-20
26,TWICE,I CAN'T STOP ME,79,1,Eyes Wide Open,13,2020-10-26
27,Megan Thee Stallion,Savage Remix (feat. Beyoncé),72,1,Savage Remix (feat. Beyoncé),1,2020-04-29
28,Noah Cyrus,Lonely,73,4,THE END OF EVERYTHING,8,2020-05-15
29,Kygo,Lose Somebody,75,1,Lose Somebody,1,2020-05-15
30,Sam Hunt,Body Like A Back Road,70,5,SOUTHSIDE,12,2020-04-03
31,Dan + Shay,I Should Probably Go To Bed,71,1,I Should Probably Go To Bed,1,2020-07-31
32,iann dior,Holding On,73,1,Holding On,1,2020-11-20
33,Eyedress,Jealous,74,8,Let's Skip to the Wedding,19,2020-08-07
34,Taylor Swift,mirrorball,73,6,folklore,16,2020-07-24
35,Jonas Brothers,What A Man Gotta Do,75,1,What A Man Gotta Do,1,2020-01-17
36,blackbear,queen of broken hearts,72,3,everything means nothing,12,2020-08-21
37,Taylor Swift,illicit affairs,73,10,folklore,16,2020-07-24
38,awfultune,redesign,75,1,redesign,1,2020-09-10
39,Machine Gun Kelly,drunk face,73,3,Tickets To My Downfall,15,2020-09-25
40,blackbear,me & ur ghost,71,2,everything means nothing,12,2020-08-21
41,Sech,Relación - Remix,80,1,Relación (Remix),1,2020-09-04
42,PARTYNEXTDOOR,BELIEVE IT,75,10,PARTYMOBILE,15,2020-03-27
43,Taylor Swift,the last great american dynasty,73,3,folklore,16,2020-07-24
44,Kygo,Lose Somebody,76,2,Golden Hour,18,2020-05-29
45,Miley Cyrus,Prisoner (feat. Dua Lipa),78,4,Plastic Hearts,15,2020-11-27
46,BTS,Black Swan,78,7,MAP OF THE SOUL : 7,20,2020-02-21
47,Nicki Minaj,Yikes,70,1,Yikes,1,2020-02-07
48,Wilbur Soot,Your Sister Was Right,73,5,Your City Gave Me Asthma,7,2020-06-25
0,Wilbur Soot,Jubilee Line,72,1,Your City Gave Me Asthma,7,2020-06-25
1,Conan Gray,Wish You Were Sober,74,2,Kid Krow,12,2020-03-20
2,Lauv,Who (feat. BTS),78,13,~how i'm feeling~,21,2020-03-06
3,BLACKPINK,Lovesick Girls,76,5,THE ALBUM,8,2020-10-02
4,Shawn Mendes,Wonder,75,2,Wonder,14,2020-12-04
5,Sigala,Lasting Lover,78,1,Lasting Lover,1,2020-09-04
6,Dua Lipa,Love Again,74,8,Future Nostalgia,13,2020-03-27
7,Conan Gray,Comfort Crowd,71,1,Kid Krow,12,2020-03-20
8,Kelsea Ballerini,half of my hometown (feat. Kenny Chesney),69,9,kelsea,13,2020-03-20
9,Giveon,Favorite Mistake,70,4,TAKE TIME,8,2020-03-27
10,Tink,Bottom Bitch,69,2,A Gift and A Curse,7,2020-12-25
11,Olivia Rodrigo,All I Want,76,12,High School Musical: The Musical: The Series (Original Soundtrack),41,2020-01-10
12,Joji,Daylight,73,1,Daylight,1,2020-08-06
13,Miley Cyrus,Midnight Sky,76,1,Midnight Sky,1,2020-08-14
14,iamjakehill,By the Sword,73,1,By the Sword,1,2020-07-15
15,Penelope Scott,Cigarette Ahegao,70,1,Public Void,7,2020-09-25
16,TOMORROW X TOGETHER,Blue Hour,76,2,minisode1 : Blue Hour,5,2020-10-26
17,Chloe x Halle,Do It,71,4,Ungodly Hour,13,2020-06-03
18,Taylor Swift,gold rush,72,3,evermore,15,2020-12-11
19,salem ilese,Mad at Disney,76,1,Mad at Disney,1,2020-07-24
20,Dua Lipa,Physical,78,4,Future Nostalgia,11,2020-03-27
21,BTS,ON,78,11,MAP OF THE SOUL : 7,20,2020-02-21
22,Flo Milli,In The Party,70,4,"Ho, why is you here ?",12,2020-07-24
23,Halsey,Graveyard,72,3,Manic,16,2020-01-17
24,All Time Low,Monsters (feat. Demi Lovato and blackbear),72,1,Monsters (feat. Demi Lovato and blackbear),2,2020-12-04
25,Ariana Grande,just like magic,72,4,Positions,14,2020-10-30
26,Bankrol Hayden,Brothers (feat. Luh Kel),71,3,Pain is Temporary,11,2020-06-26
27,Phoebe Bridgers,Garden Song,71,2,Punisher,11,2020-06-18
28,Sueco,PRIMADONA,69,1,PRIMADONA,1,2020-12-04
29,Ariana Grande,nasty,71,9,Positions,14,2020-10-30
30,Jack Stauber's Micropop,Coffee,71,6,Shop: A Pop Opera,8,2020-03-08
31,Conan Gray,The Story,72,12,Kid Krow,12,2020-03-20
32,Stray Kids,God’s Menu,77,2,GO LIVE,14,2020-06-17
33,NGHTMRE,FEELING GUD,72,1,FEELING GUD,1,2020-02-07
34,Sam Hunt,Hard To Forget,68,2,SOUTHSIDE,12,2020-04-03
35,iann dior,Pretty Girls,70,2,I'm Gone,9,2020-06-12
36,Taylor Swift,seven,72,7,folklore,16,2020-07-24
37,Tyla Yaweh,Tommy Lee (feat. Post Malone),73,1,Tommy Lee (feat. Post Malone),1,2020-06-12
38,Quinn XCII,Coffee (feat. Marc E. Bassy),68,5,A Letter To My Younger Self,12,2020-07-10
39,DDG,Moonwalking in Calabasas (feat. Blueface) - Remix,71,1,Moonwalking in Calabasas (feat. Blueface) [Remix],1,2020-09-11
40,Sir Chloe,Animal,71,3,Party Favors,9,2020-10-23
41,Ella Mai,Not Another Love Song,69,1,Not Another Love Song,1,2020-10-02
42,Bazzi,Young & Alive,71,1,Young & Alive,1,2020-03-05
43,Glass Animals,Tangerine,69,2,Dreamland,16,2020-08-07
44,Phoebe Bridgers,Savior Complex,70,8,Punisher,11,2020-06-18
45,Gracie Abrams,"I miss you, I’m sorry",74,5,minor,7,2020-07-14
46,Kidd G,Dirt Road,67,1,Dirt Road,1,2020-10-02
47,Phoebe Bridgers,Moon Song,70,7,Punisher,11,2020-06-18
48,Blake Rose,Lost,75,1,Lost,2,2020-11-06
0,Aly & AJ,Potential Breakup Song,68,1,Potential Breakup Song,1,2020-12-29
1,Wallows,OK,70,1,OK,1,2020-03-20
2,Dua Lipa,Love Again,79,8,Future Nostalgia,11,2020-03-27
3,Future,Too Comfortable,70,13,High Off Life,21,2020-05-15
4,Sub Urban,Freak (feat. REI AMI),74,1,Thrill Seeker,7,2020-03-13
5,Ozuna,Del Mar,79,5,Enoc,20,2020-09-04
6,Lady Gaga,Stupid Love,75,3,Chromatica,16,2020-05-29
7,Penelope Scott,Sweet Hibiscus Tea,68,1,The Junkyard 2,10,2020-05-13
8,DVBBS,West Coast (feat. Quinn XCII),70,1,West Coast (feat. Quinn XCII),1,2020-10-16
9,Bruno Major,The Most Beautiful Thing,74,2,To Let A Good Thing Die,10,2020-06-05
10,Hotboii,Don't Need Time,69,7,Kut Da Fan On,17,2020-05-22
11,The Neighbourhood,Devil's Advocate,72,4,Chip Chrome & The Mono-Tones,11,2020-09-25
12,Jameson Rodgers,Cold Beer Calling My Name,68,1,Cold Beer Calling My Name,1,2020-04-14
13,Ace Hood,We Ball,72,1,Mr. Hood,14,2020-05-29
14,NOTD,I Don't Know Why,74,1,I Don't Know Why,1,2020-05-08
15,Bryson Tiller,Outta Time (feat. Drake),70,8,A N N I V E R S A R Y,10,2020-10-02
16,Phoebe Bridgers,Graceland Too,70,10,Punisher,11,2020-06-18
17,Black Eyed Peas,GIRL LIKE ME,81,4,TRANSLATION,15,2020-11-02
18,Dominic Fike,Vampire,69,9,What Could Possibly Go Wrong,14,2020-07-31
19,Kygo,Freedom,73,1,Freedom,1,2020-04-17
20,Clinton Kane,i don't want to watch the world end with someone else,74,1,i don't want to watch the world end with someone else,1,2020-05-08
21,Lizzy McAlpine,Pancakes for Dinner,71,10,Give Me A Minute,13,2020-08-13
22,G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),73,1,Still Be Friends (feat. Tory Lanez & Tyga),1,2020-02-07
23,Maude Latour,One More Weekend,69,1,One More Weekend,1,2020-07-24
24,Ariana Grande,safety net (feat. Ty Dolla $ign),71,7,Positions,14,2020-10-30
25,YUNGBLUD,parents,74,2,weird!,14,2020-12-04
26,Kevin Gates,Power,68,1,Power,2,2020-11-19
27,H.E.R.,Damage,68,1,Damage,1,2020-10-21
28,Taylor Swift,ivy,70,10,evermore,15,2020-12-11
29,Wilbur Soot,Internet Ruined Me,71,1,Internet Ruined Me,1,2020-05-25
30,iann dior,Prospect (ft. Lil Baby),68,9,I'm Gone,9,2020-06-12
31,Kali Uchis,fue mejor (feat. SZA),69,15,Sin Miedo (del Amor y Otros Demonios) ∞ [Deluxe Version],15,2020-12-04
32,K/DA,VILLAIN,75,3,ALL OUT,5,2020-11-06
33,Joji,Like You Do,73,17,Nectar,18,2020-09-25
34,BTS,My Time,77,9,MAP OF THE SOUL : 7,20,2020-02-21
35,Brent Faiyaz,Been Away,69,3,Fuck The World,10,2020-02-07
36,Ozuna,Una Locura,81,9,Enoc,20,2020-09-04
37,Peach Pit,Shampoo Bottles,69,9,You and Your Friends,12,2020-04-03
38,Remi Wolf,Disco Man,68,5,I'm Allergic To Dogs!,5,2020-06-24
39,Gabby Barrett,I Hope (feat. Charlie Puth),68,13,Goldmine,13,2020-06-19
40,Sam Smith,Fire On Fire,76,5,Love Goes,17,2020-10-30
41,Lincoln,Saint Bernard,68,1,Saint Bernard,3,2020-09-18
42,MOD SUN,Stay Away (feat. Machine Gun Kelly & Goody Grace),69,1,Stay Away (feat. Machine Gun Kelly & Goody Grace),1,2020-04-24
43,24kGoldn,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",76,1,"Mood (Remix) feat. Justin Bieber, J Balvin & iann dior",1,2020-11-06
44,K/DA,MORE,76,1,MORE,1,2020-10-28
45,BTS,Blue & Grey,77,3,BE,8,2020-11-20
46,Tenille Arts,I Hate This,67,5,"Love, Heartbreak, & Everything in Between",12,2020-01-10
47,Cavetown,Sweet Tooth,69,1,Sleepyhead,11,2020-03-27
48,Lukas Graham,Share That Love (feat. G-Eazy),71,1,Share That Love (feat. G-Eazy),1,2020-08-21
0,Rauw Alejandro,Reloj,77,1,Reloj,1,2020-10-22
1,Conan Gray,The Cut That Always Bleeds,69,6,Kid Krow,12,2020-03-20
2,BLACKPINK,Pretty Savage,74,3,THE ALBUM,8,2020-10-02
3,Lauv,"fuck, i'm lonely (with Anne-Marie)",75,2,~how i'm feeling~,21,2020-03-06
4,Manuel Turizo,La Nota,78,1,La Nota,1,2020-10-08
5,Jeremy Zucker,"always, i'll care",76,11,love is not dying,13,2020-04-17
6,Phoebe Bridgers,I Know The End,69,11,Punisher,11,2020-06-18
7,Joji,Sanctuary,76,8,Nectar,18,2020-09-25
8,Wilbur Soot,Saline Solution,70,2,Your City Gave Me Asthma,7,2020-06-25
9,ITZY,WANNABE,78,1,It'z Me,7,2020-03-09
10,Duncan Laurence,Arcade,78,13,Small Town Boy (Track By Track),26,2020-11-12
11,aespa,Black Mamba,78,1,Black Mamba,1,2020-11-17
12,42 Dugg,Not A Rapper,67,3,Young & Turnt 2,14,2020-03-27
13,keshi,drunk,73,3,always,6,2020-10-23
14,Tyla Yaweh,High Right Now (feat. Wiz Khalifa) - Remix,71,1,High Right Now (feat. Wiz Khalifa) [Remix],1,2020-01-31
15,Taylor Swift,"no body, no crime (feat. HAIM)",71,6,evermore,15,2020-12-11
16,PARTYNEXTDOOR,PERSIAN RUGS,68,1,PARTYPACK,7,2020-10-16
17,MASN,Psycho!,73,1,How To Kill A Rockstar,7,2020-08-21
18,Wilbur Soot,I'm in Love With an E-Girl,70,1,I'm in Love With an E-Girl,1,2020-01-24
19,The Weeknd,Escape From LA,71,6,After Hours,14,2020-03-20
20,Arizona Zervas,NIGHTRIDER,71,1,NIGHTRIDER,1,2020-07-24
21,TWICE,CRY FOR ME,75,1,CRY FOR ME,1,2020-12-18
22,Taylor Swift,willow,73,1,evermore,15,2020-12-10
23,ILLENIUM,Feel Something (With I Prevail),67,1,Feel Something (With I Prevail),1,2020-04-03
24,Tate McRae,r u ok,72,1,r u ok,1,2020-12-10
25,BTS,Telepathy,76,5,BE,8,2020-11-20
26,Giveon,Stuck On You,69,1,Stuck On You,1,2020-09-30
27,Lennon Stella,Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,71,1,Summer Feelings (feat. Charlie Puth),1,2020-04-23
28,Miley Cyrus,Midnight Sky,75,7,Plastic Hearts,15,2020-11-27
29,Sir Chloe,Too Close,69,7,Party Favors,9,2020-10-23
30,Flo Milli,Beef FloMix,67,2,"Ho, why is you here ?",12,2020-07-24
31,Anson Seabra,Walked Through Hell,73,1,Walked Through Hell,1,2020-11-20
32,Caroline Rose,Feel The Way I Want,67,5,Superstar,11,2020-03-06
33,Giveon,The Beach,67,1,TAKE TIME,8,2020-03-27
34,Cash Cash,I Found You,70,1,I Found You,1,2020-02-28
35,The Weeknd,Faith,71,8,After Hours,14,2020-03-20
36,Pink Sweat$,At My Worst,79,4,The Prelude,6,2020-07-17
37,Tems,Free Mind,70,3,For Broken Ears,7,2020-09-25
38,Imanbek,Goodbye,76,1,Goodbye,1,2020-12-18
39,Sam Smith,Diamonds,77,1,Diamonds,1,2020-09-17
40,Alesso,Midnight (feat. Liam Payne),72,1,Midnight (feat. Liam Payne),1,2020-04-08
41,KAI,Mmmh,75,1,KAI - The 1st Mini Album,6,2020-11-30
42,Stray Kids,Back Door,76,2,IN LIFE,17,2020-09-14
43,Cautious Clay,"Cheesin’ (with Cautious Clay, Remi Wolf, Still Woozy, Sophie Meiers, Claud, Melanie Faye, & HXNS)",64,1,Cheesin',1,2020-04-22
44,The Weeknd,Hardest To Love,71,3,After Hours,14,2020-03-20
45,Taylor Swift,mad woman,70,12,folklore,16,2020-07-24
46,Lizzy McAlpine,To the Mountains,69,6,Give Me A Minute,13,2020-08-13
47,Martin Garrix,Drown (feat. Clinton Kane),74,1,Drown (feat. Clinton Kane),1,2020-02-27
48,JAWNY,Trigger Of Love,69,5,For Abby,10,2020-10-27
0,John Legend,Conversations in the Dark - John Legend vs. David Guetta,70,2,Conversations in the Dark,2,2020-02-14
1,ENHYPEN,Given-Taken,76,2,BORDER : DAY ONE,6,2020-11-30
2,H.E.R.,Comfortable,67,1,Comfortable,1,2020-02-05
3,Lauv,Feelings,73,7,~how i'm feeling~,21,2020-03-06
4,Lauv,Fake,74,1,Fake,1,2020-10-13
5,BTS,Dis-ease,74,6,BE,8,2020-11-20
6,Machine Gun Kelly,body bag (feat. YUNGBLUD & Bert McCracken of The Used),70,16,Tickets To My Downfall (SOLD OUT Deluxe),21,2020-09-29
7,5 Seconds of Summer,Easier,72,4,CALM,13,2020-03-27
