,Track_Number,Total_Tracks,Year_Released,Month_Released,Popularity
4341,1,13,2017,10,67
4342,5,10,2017,4,60
4343,1,1,2017,11,63
4344,4,13,2017,5,64
4345,3,16,2017,9,65
4346,10,13,2017,6,58
4347,19,23,2017,9,60
4348,4,10,2017,4,61
4349,3,11,2017,7,65
4350,11,15,2017,4,61
4351,8,16,2017,3,69
4352,2,7,2017,4,60
4353,1,11,2017,3,61
4354,8,16,2017,6,70
4355,15,15,2017,5,59
4356,1,12,2017,1,59
4357,12,12,2017,4,74
4358,1,7,2017,9,65
4359,4,16,2017,10,62
4360,3,16,2017,6,67
4361,9,20,2017,3,60
4362,6,12,2017,10,62
4363,1,5,2017,8,59
4364,7,14,2017,10,65
4365,9,9,2017,11,65
4366,2,12,2017,7,60
4367,13,16,2017,6,64
4368,6,13,2017,12,65
4369,3,16,2017,10,63
4370,2,52,2017,3,67
4371,1,1,2017,6,61
4372,44,56,2017,12,68
4373,11,14,2017,9,59
4374,5,16,2017,7,66
4375,2,11,2017,6,63
4376,1,1,2017,7,65
4377,8,15,2017,4,61
4378,1,9,2017,10,67
4379,1,1,2017,8,70
4380,2,2,2017,10,60
4381,1,1,2017,11,68
4382,1,1,2017,1,61
4383,3,12,2017,2,60
4384,1,1,2017,8,61
4385,1,1,2017,10,59
4386,7,22,2017,3,65
4387,4,7,2017,12,60
4388,1,15,2017,12,67
4389,16,16,2017,3,68
4390,2,6,2017,7,66
4391,4,13,2017,12,64
4392,4,7,2017,3,62
4393,1,1,2017,6,65
4394,1,1,2017,12,70
4395,3,10,2017,4,61
4396,3,12,2017,5,62
4397,6,13,2017,5,70
4398,1,1,2017,2,60
4399,8,14,2017,9,58
4400,1,1,2017,4,72
4401,2,18,2017,12,59
4402,4,12,2017,2,67
4403,6,10,2017,6,60
4404,1,1,2017,5,63
4405,26,30,2017,12,62
4406,1,1,2017,12,64
4407,1,11,2017,7,64
4408,1,10,2017,9,64
4409,3,10,2017,9,58
4410,1,1,2017,5,59
4411,2,4,2017,6,61
4412,9,15,2017,4,60
4413,1,1,2017,8,64
4414,4,17,2017,9,61
4415,5,11,2017,7,63
4416,3,16,2017,6,61
4417,9,12,2017,8,64
4418,1,1,2017,8,68
4419,2,14,2017,10,60
4420,9,10,2017,11,63
4421,10,15,2017,4,60
4422,2,11,2017,4,59
4423,11,17,2017,6,69
4424,6,18,2017,2,69
4425,1,13,2017,5,69
4426,2,9,2017,11,65
4427,8,13,2017,12,64
4428,3,12,2017,11,63
4429,1,12,2017,4,63
4430,1,1,2017,8,63
4431,1,1,2017,10,59
4432,1,1,2017,5,65
4433,7,16,2017,10,61
4434,12,21,2017,10,59
4435,15,15,2017,5,61
4436,1,9,2017,3,65
4437,5,12,2017,8,66
4438,5,11,2017,7,64
4439,3,11,2017,4,75
4440,1,14,2017,4,63
4441,5,12,2017,10,58
4442,19,20,2017,10,71
4443,1,1,2017,12,70
4444,1,1,2017,10,62
4445,1,1,2017,5,64
4446,1,1,2017,5,68
4447,12,13,2017,9,60
4448,1,10,2017,12,61
4449,7,7,2017,4,60
4450,7,14,2017,1,60
4451,6,12,2017,7,59
4452,1,1,2017,10,61
4453,6,22,2017,3,64
4454,1,1,2017,11,67
4455,1,5,2017,3,59
4456,5,12,2017,10,62
4457,1,1,2017,5,64
4458,1,1,2017,3,67
4459,4,56,2017,12,73
4460,1,13,2017,12,58
4461,13,14,2017,6,68
4462,9,17,2017,11,55
4463,5,17,2017,10,63
4464,5,12,2017,12,65
4465,1,1,2017,4,57
4466,3,11,2017,1,73
4467,9,9,2017,12,63
4468,4,22,2017,9,58
4469,6,14,2017,9,60
4470,9,18,2017,7,58
4471,3,16,2017,7,65
4472,1,1,2017,7,67
4473,1,1,2017,6,70
4474,1,1,2017,9,59
4475,14,16,2017,7,64
4476,1,1,2017,3,61
4477,1,9,2017,1,58
4478,5,12,2017,7,60
4479,1,2,2017,10,70
4480,1,1,2017,5,59
4481,5,11,2017,4,74
4482,8,12,2017,7,63
4483,11,20,2017,6,60
4484,15,22,2017,3,66
4485,4,20,2017,6,59
4486,1,1,2017,11,64
4487,1,1,2017,1,59
4488,1,1,2017,10,56
4489,3,30,2017,12,60
4490,7,7,2017,2,63
4491,7,10,2017,4,59
4492,1,1,2017,4,61
4493,2,23,2017,6,55
4494,13,15,2017,4,59
4495,1,1,2017,12,68
4496,1,1,2017,8,57
4497,3,14,2017,10,64
4498,1,1,2017,6,58
4499,8,10,2017,4,58
4500,2,10,2017,4,67
4501,1,1,2017,11,57
4502,2,7,2017,5,64
4503,1,1,2017,6,66
4504,1,1,2017,5,60
4505,14,14,2017,6,56
4506,4,16,2017,9,63
4507,2,13,2017,12,63
4508,3,12,2017,3,57
4509,1,1,2017,4,67
4510,6,12,2017,5,62
4511,5,5,2017,5,59
4512,1,12,2017,2,71
4513,14,16,2017,10,61
4514,2,13,2017,5,59
4515,10,12,2017,4,61
4516,1,1,2017,3,60
4517,14,16,2017,3,66
4518,3,5,2017,12,62
4519,4,11,2017,7,63
4520,2,6,2017,11,57
4521,7,11,2017,10,59
4522,1,1,2017,8,72
4523,4,22,2017,3,62
4524,2,9,2017,3,56
4525,3,19,2017,1,55
4526,8,16,2017,8,70
4527,7,11,2017,6,61
4528,1,1,2017,2,56
4529,12,13,2017,12,60
4530,1,5,2017,10,60
4531,9,45,2017,10,59
4532,9,16,2017,10,62
4533,4,11,2017,9,60
4534,17,17,2017,6,60
4535,5,16,2017,6,58
4536,1,1,2017,12,56
4537,7,15,2017,7,72
4538,4,13,2017,2,61
4539,1,12,2017,2,59
4540,10,11,2017,9,59
4541,2,2,2017,12,63
4542,7,10,2017,6,55
4543,3,12,2017,5,67
4544,4,14,2017,2,59
4545,3,4,2017,6,57
4546,3,17,2017,6,67
4547,4,10,2017,4,57
4548,5,7,2017,12,60
4549,4,18,2017,2,66
4550,1,1,2017,12,57
4551,5,20,2017,12,61
4552,1,1,2017,5,68
4553,1,1,2017,10,61
4554,21,22,2017,3,60
4555,1,1,2017,12,60
4556,1,1,2017,12,65
4557,1,1,2017,2,60
4558,1,1,2017,4,70
4559,1,1,2017,9,69
4560,5,6,2017,11,61
4561,1,1,2017,6,62
4562,4,5,2017,9,63
4563,2,5,2017,5,64
4564,3,18,2017,12,57
4565,3,4,2017,11,66
4566,1,9,2017,9,65
4567,4,13,2017,8,60
4568,1,1,2017,9,58
4569,6,17,2017,3,61
4570,8,14,2017,11,56
4571,1,12,2017,11,65
4572,13,22,2017,3,61
4573,8,16,2017,6,58
4574,3,14,2017,4,62
4575,3,16,2017,3,61
4576,19,20,2017,6,63
4577,1,5,2017,11,57
4578,4,14,2017,10,63
4579,1,9,2017,5,59
4580,11,12,2017,4,65
4581,1,1,2017,4,65
4582,3,20,2017,10,59
4583,1,1,2017,9,67
4584,1,19,2017,7,59
4585,1,1,2017,5,60
4586,1,4,2017,6,58
4587,6,22,2017,9,57
4588,2,12,2017,6,57
4589,1,1,2017,11,65
4590,9,10,2017,8,59
4591,5,12,2017,9,58
4592,7,13,2017,7,56
4593,1,1,2017,8,65
4594,5,5,2017,12,61
4595,1,12,2017,5,68
4596,6,7,2017,12,71
4597,1,1,2017,7,57
4598,5,14,2017,9,65
4599,1,1,2017,11,56
4600,1,1,2017,3,54
4601,6,9,2017,1,57
4602,1,7,2017,8,59
4603,1,1,2017,7,58
4604,1,1,2017,9,57
4605,2,13,2017,6,58
4606,5,11,2017,5,61
4607,6,13,2017,6,54
4608,7,12,2017,6,57
4609,5,15,2017,5,56
4610,1,1,2017,10,57
4611,10,10,2017,4,58
4612,2,5,2017,12,67
4613,4,8,2017,10,60
4614,3,14,2017,11,56
4615,1,13,2017,12,60
4616,1,6,2017,5,56
4617,1,14,2017,7,57
4618,1,12,2017,4,58
4619,9,13,2017,3,58
4620,6,17,2017,6,65
4621,6,17,2017,9,57
4622,7,13,2017,11,57
4623,1,1,2017,11,66
4624,4,16,2017,6,58
4625,1,1,2017,9,68
4626,5,17,2017,7,59
4627,1,2,2017,1,68
4628,4,12,2017,10,59
4629,12,16,2017,8,65
4630,1,9,2017,2,65
4631,1,1,2017,6,56
4632,8,11,2017,8,71
4633,9,9,2017,9,63
4634,1,1,2017,5,57
4635,15,16,2017,4,64
4636,11,11,2017,5,58
4637,8,10,2017,4,66
4638,2,6,2017,11,57
4639,1,20,2017,12,59
4640,5,10,2017,9,56
4641,1,1,2017,12,68
4642,3,15,2017,5,58
4643,1,1,2017,11,65
4644,3,7,2017,7,57
4645,1,1,2017,11,55
4646,1,1,2017,11,64
4647,4,10,2017,12,58
4648,5,9,2017,5,58
4649,12,13,2017,5,59
4650,8,12,2017,4,61
4651,13,16,2017,7,61
4652,1,10,2017,12,64
4653,1,1,2017,9,62
4654,15,16,2017,6,58
4655,12,13,2017,11,71
4656,1,1,2017,12,74
4657,2,2,2017,5,62
4658,1,1,2017,3,61
4659,1,1,2017,10,58
4660,1,12,2017,4,63
4661,2,3,2017,11,60
4662,1,1,2017,1,60
4663,1,4,2017,4,61
4664,2,3,2017,1,58
4665,1,1,2017,10,70
4666,1,1,2017,10,58
4667,13,15,2017,7,68
4668,4,11,2017,6,59
4669,1,1,2017,3,58
4670,10,10,2017,6,54
4671,1,1,2017,11,61
4672,2,12,2017,5,65
4673,12,14,2017,4,56
4674,2,12,2017,4,60
4675,6,15,2017,9,63
4676,9,13,2017,10,61
4677,2,15,2017,12,59
4678,12,17,2017,6,68
4679,1,1,2017,10,68
4680,6,11,2017,7,62
4681,1,10,2017,11,66
4682,4,20,2017,10,59
4683,14,45,2017,10,59
4684,1,5,2017,8,57
4685,9,14,2017,11,55
4686,1,1,2017,4,57
4687,7,16,2017,11,58
4688,13,17,2017,11,60
4689,4,8,2017,5,63
4690,6,12,2017,10,60
4691,14,26,2017,3,69
4692,1,1,2017,4,60
4693,12,16,2017,10,58
4694,1,12,2017,5,60
4695,1,1,2017,9,61
4696,7,13,2017,9,61
4697,1,5,2017,4,69
4698,1,1,2017,11,65
4699,4,11,2017,2,56
4700,16,16,2017,4,66
4701,1,1,2017,4,56
4702,3,4,2017,4,57
4703,1,1,2017,5,64
4704,1,20,2017,6,58
4705,9,12,2017,4,61
4706,4,4,2017,4,63
4707,11,21,2017,10,56
4708,8,10,2017,6,54
4709,5,11,2017,4,65
4710,8,22,2017,9,56
4711,4,12,2017,9,57
4712,8,19,2017,5,58
4713,1,12,2017,7,57
4714,5,6,2017,11,55
4715,1,11,2017,7,53
4716,1,1,2017,3,65
4717,2,12,2017,9,58
4718,6,12,2017,5,57
4719,2,19,2017,2,59
4720,1,2,2017,7,59
4721,7,12,2017,12,62
4722,15,19,2017,1,56
4723,1,1,2017,12,62
4724,1,1,2017,8,56
4725,8,19,2017,2,59
4726,6,13,2017,12,55
4727,1,1,2017,2,74
4728,1,13,2017,1,55
4729,5,10,2017,6,54
4730,2,5,2017,1,57
4731,3,10,2017,10,56
4732,1,1,2017,5,60
4733,1,1,2017,7,56
4734,1,1,2017,7,62
4735,5,13,2017,10,58
4736,13,13,2017,12,72
4737,6,20,2017,10,61
4738,10,12,2017,6,52
4739,9,13,2017,2,54
4740,2,14,2017,10,61
4741,1,17,2017,7,59
4742,5,5,2017,9,68
4743,4,4,2017,6,66
4744,1,2,2017,4,65
4745,1,13,2017,10,62
4746,4,20,2017,10,64
4747,8,12,2017,10,60
4748,4,5,2017,8,56
4749,4,12,2017,5,58
4750,1,1,2017,4,58
4751,1,5,2017,12,58
4752,4,12,2017,9,54
4753,5,10,2016,2,84
4754,6,11,2016,12,85
4755,2,11,2016,4,78
4756,2,17,2016,10,87
4757,17,18,2016,11,84
4758,8,10,2016,4,82
4759,1,18,2016,11,86
4760,4,9,2016,11,84
4761,1,1,2016,7,87
4762,7,16,2016,1,82
4763,2,10,2016,4,84
4764,2,17,2016,8,81
4765,3,17,2016,8,82
4766,12,20,2016,5,87
4767,9,17,2016,8,81
4768,11,16,2016,1,84
4769,6,17,2016,10,84
4770,2,2,2016,10,79
4771,1,11,2016,4,81
4772,1,9,2016,11,81
4773,1,7,2016,7,76
4774,17,18,2016,11,79
4775,8,11,2016,8,78
4776,13,14,2016,8,79
4777,3,14,2016,11,82
4778,1,1,2016,7,80
4779,2,13,2016,9,75
4780,3,8,2016,9,76
4781,5,12,2016,1,80
4782,3,15,2016,4,77
4783,15,16,2016,8,76
4784,1,11,2016,4,72
4785,6,7,2016,3,81
4786,18,18,2016,11,81
4787,3,10,2016,2,77
4788,3,11,2016,4,72
4789,1,1,2016,12,75
4790,2,18,2016,3,81
4791,7,17,2016,8,77
4792,25,28,2016,8,78
4793,4,10,2016,11,75
4794,5,12,2016,1,71
4795,1,11,2016,12,75
4796,10,12,2016,4,77
4797,3,5,2016,7,76
4798,4,11,2016,5,71
4799,1,1,2016,2,82
4800,13,18,2016,5,74
4801,4,20,2016,5,75
4802,1,1,2016,4,82
4803,1,1,2016,11,79
4804,13,14,2016,8,84
4805,4,16,2016,1,79
4806,10,17,2016,2,75
4807,5,14,2016,8,79
4808,3,14,2016,6,72
4809,2,12,2016,5,79
4810,16,16,2016,1,75
4811,1,21,2016,11,80
4812,2,11,2016,5,70
4813,4,17,2016,10,78
4814,12,13,2016,4,75
4815,9,11,2016,8,74
4816,5,16,2016,1,75
4817,4,18,2016,11,76
4818,5,11,2016,5,69
4819,2,17,2016,1,72
4820,3,14,2016,11,75
4821,9,12,2016,2,75
4822,1,1,2016,12,78
4823,1,1,2016,6,78
4824,6,19,2016,10,72
4825,5,9,2016,11,76
4826,5,19,2016,10,81
4827,1,1,2016,6,75
4828,1,1,2016,8,71
4829,2,18,2016,11,75
4830,1,4,2016,7,79
4831,1,1,2016,7,79
4832,4,15,2016,8,72
4833,1,12,2016,1,68
4834,6,8,2016,9,71
4835,1,1,2016,6,76
4836,1,5,2016,2,74
4837,7,14,2016,10,79
4838,1,1,2016,4,69
4839,1,1,2016,11,77
4840,8,14,2016,10,74
4841,4,5,2016,8,71
4842,5,10,2016,4,67
4843,3,17,2016,1,71
4844,7,13,2016,5,70
4845,2,14,2016,5,71
4846,11,20,2016,5,75
4847,16,20,2016,5,76
4848,1,1,2016,8,78
4849,1,1,2016,7,70
4850,1,1,2016,7,70
4851,3,12,2016,6,73
4852,1,17,2016,8,74
4853,1,1,2016,8,72
4854,2,6,2016,2,71
4855,6,15,2016,8,70
4856,8,18,2016,11,73
4857,5,14,2016,8,75
4858,1,10,2016,4,71
4859,10,16,2016,1,79
4860,1,7,2016,8,72
4861,8,10,2016,11,74
4862,3,12,2016,9,67
4863,1,5,2016,2,70
4864,1,1,2016,12,69
4865,13,59,2016,11,68
4866,9,18,2016,11,73
4867,3,16,2016,1,73
4868,4,13,2016,12,71
4869,5,17,2016,8,71
4870,1,1,2016,11,67
4871,6,11,2016,5,66
4872,1,1,2016,4,67
4873,9,13,2016,9,66
4874,1,22,2016,2,71
4875,1,1,2016,5,75
4876,3,10,2016,6,68
4877,2,7,2016,8,71
4878,4,13,2016,4,70
4879,18,20,2016,5,71
4880,1,16,2016,1,71
4881,2,13,2016,4,72
4882,1,1,2016,8,69
4883,6,18,2016,11,73
4884,2,15,2016,10,77
4885,6,14,2016,10,70
4886,2,12,2016,7,72
4887,5,14,2016,7,72
4888,1,1,2016,6,77
4889,1,1,2016,7,71
4890,3,13,2016,9,71
4891,2,11,2016,8,70
4892,4,14,2016,4,71
4893,2,2,2016,8,79
4894,1,11,2016,4,74
4895,5,10,2016,10,69
4896,3,13,2016,11,66
4897,1,12,2016,5,73
4898,1,1,2016,10,79
4899,10,18,2016,11,71
4900,2,12,2016,11,79
4901,1,7,2016,9,72
4902,14,16,2016,12,67
4903,6,17,2016,1,66
4904,14,14,2016,4,70
4905,7,10,2016,4,68
4906,1,1,2016,11,70
4907,5,11,2016,4,64
4908,8,9,2016,11,71
4909,2,27,2016,2,69
4910,3,5,2016,12,73
4911,8,17,2016,1,67
4912,4,7,2016,10,68
4913,2,9,2016,11,71
4914,3,18,2016,11,71
4915,7,18,2016,11,70
4916,1,11,2016,8,67
4917,14,20,2016,5,68
4918,4,11,2016,8,67
4919,10,18,2016,3,72
4920,2,14,2016,4,68
4921,5,15,2016,5,78
4922,2,13,2016,3,68
4923,5,15,2016,2,67
4924,3,12,2016,8,67
4925,1,2,2016,1,71
4926,3,27,2016,2,68
4927,1,1,2016,7,66
4928,3,7,2016,7,69
4929,1,12,2016,1,69
4930,1,1,2016,4,71
4931,3,4,2016,12,73
4932,1,1,2016,10,67
4933,7,16,2016,1,64
4934,18,18,2016,11,74
4935,1,1,2016,9,77
4936,2,6,2016,6,65
4937,2,5,2016,2,66
4938,4,21,2016,9,67
4939,2,5,2016,9,70
4940,2,10,2016,1,72
4941,2,13,2016,2,69
4942,11,23,2016,5,73
4943,1,13,2016,4,76
4944,17,19,2016,3,68
4945,1,1,2016,11,69
4946,8,16,2016,1,68
4947,1,1,2016,2,70
4948,10,23,2016,5,74
